Year,Altersgruppe,Value
2019,Kita 0 - 2 Jahre,13.22102321
2020,Kita 0 - 2 Jahre,13.5778166
2021,Kita 0 - 2 Jahre,14.24380747
2022,Kita 0 - 2 Jahre,14.90762758
2023,Kita 0 - 2 Jahre,15.93213271
2024,Kita 0 - 2 Jahre,16.4329009
2019,Kita 3 - 5 Jahre,36.7
2020,Kita 3 - 5 Jahre,37.2
2021,Kita 3 - 5 Jahre,39.0
2022,Kita 3 - 5 Jahre,40.3
2023,Kita 3 - 5 Jahre,42.1
2024,Kita 3 - 5 Jahre,42.5
2006,Kita u. TP 0 - 2 Jahre,2.0
2007,Kita u. TP 0 - 2 Jahre,2.4
2008,Kita u. TP 0 - 2 Jahre,3.2
2009,Kita u. TP 0 - 2 Jahre,4.4
2010,Kita u. TP 0 - 2 Jahre,5.9
2011,Kita u. TP 0 - 2 Jahre,7.5
2012,Kita u. TP 0 - 2 Jahre,9.0
2013,Kita u. TP 0 - 2 Jahre,10.7
2014,Kita u. TP 0 - 2 Jahre,12.4
2015,Kita u. TP 0 - 2 Jahre,13.8
2016,Kita u. TP 0 - 2 Jahre,14.0
2017,Kita u. TP 0 - 2 Jahre,14.2
2018,Kita u. TP 0 - 2 Jahre,15.1
2019,Kita u. TP 0 - 2 Jahre,15.62378697
2020,Kita u. TP 0 - 2 Jahre,16.10956118
2021,Kita u. TP 0 - 2 Jahre,16.99706652
2022,Kita u. TP 0 - 2 Jahre,17.59387494
2023,Kita u. TP 0 - 2 Jahre,19.29943444
2024,Kita u. TP 0 - 2 Jahre,19.9265629
2006,Kita u. TP 3 - 5 Jahre,10.14680804
2007,Kita u. TP 3 - 5 Jahre,11.22379552
2008,Kita u. TP 3 - 5 Jahre,12.84233998
2009,Kita u. TP 3 - 5 Jahre,14.5803325
2010,Kita u. TP 3 - 5 Jahre,16.30757801
2011,Kita u. TP 3 - 5 Jahre,19.41286295
2012,Kita u. TP 3 - 5 Jahre,21.81580022
2013,Kita u. TP 3 - 5 Jahre,24.74058743
2014,Kita u. TP 3 - 5 Jahre,26.46069568
2015,Kita u. TP 3 - 5 Jahre,30.03808815
2016,Kita u. TP 3 - 5 Jahre,32.03031066
2017,Kita u. TP 3 - 5 Jahre,34.56068442
2018,Kita u. TP 3 - 5 Jahre,35.43545556
2019,Kita u. TP 3 - 5 Jahre,37.13856652
2020,Kita u. TP 3 - 5 Jahre,37.76070252
2021,Kita u. TP 3 - 5 Jahre,39.70293307
2022,Kita u. TP 3 - 5 Jahre,40.88331731
2023,Kita u. TP 3 - 5 Jahre,42.8197955
2024,Kita u. TP 3 - 5 Jahre,43.20961955
